,country1,country2,pairwise_levenshtein
590,Angola,Ghana,48
591,Angola,Greece,47
592,Angola,Guadeloupe,47
593,Angola,Guam,47
594,Angola,Guatemala,48
595,Angola,Guinea,47
596,Angola,Guyana,47
597,Angola,Haiti,48
598,Angola,Honduras,47
599,Angola,Hong Kong,46
600,Angola,Hungary,47
601,Angola,Iceland,47
602,Angola,India,48
603,Angola,Indonesia,49
604,Angola,Iran,49
605,Angola,Iraq,47
606,Angola,Ireland,46
607,Angola,Israel,46
608,Angola,Italy,47
609,Angola,Jamaica,48
610,Angola,Japan,48
611,Angola,Jordan,48
612,Angola,Kazakhstan,50
613,Angola,Kenya,47
614,Angola,Kuwait,47
615,Angola,Kyrgyzstan,48
616,Angola,Laos,46
617,Angola,Latvia,48
618,Angola,Lebanon,47
619,Angola,Lesotho,47
620,Angola,Liberia,46
621,Angola,Libya,46
622,Angola,Lithuania,48
623,Angola,Luxembourg,46
624,Angola,Macao,46
625,Angola,Macedonia,48
626,Angola,Madagascar,47
627,Angola,Malawi,48
628,Angola,Malaysia,46
629,Angola,Maldives,50
630,Angola,Mali,48
631,Angola,Malta,50
632,Angola,Martinique,48
633,Angola,Mauritania,47
634,Angola,Mauritius,48
635,Angola,Mayotte,48
636,Angola,Mexico,43
637,Angola,Moldova,50
638,Angola,Mongolia,48
639,Angola,Montenegro,48
640,Angola,Morocco,49
641,Angola,Mozambique,44
642,Angola,Myanmar,48
643,Angola,Namibia,47
644,Angola,Nepal,48
645,Angola,Netherlands,46
646,Angola,New Caledonia,47
647,Angola,New Zealand,47
648,Angola,Nicaragua,46
649,Angola,Niger,48
650,Angola,Nigeria,48
651,Angola,Norway,46
652,Angola,Oman,47
653,Angola,Pakistan,47
654,Angola,Palestinian Territory,48
655,Angola,Panama,47
656,Angola,Papua New Guinea,46
657,Angola,Paraguay,46
658,Angola,Peru,46
659,Angola,Philippines,48
660,Angola,Poland,47
661,Angola,Portugal,47
662,Angola,Puerto Rico,47
663,Angola,Qatar,47
664,Angola,Reunion,47
665,Angola,Romania,47
666,Angola,Russia,50
667,Angola,Rwanda,48
668,Angola,Saint Lucia,47
669,Angola,Saudi Arabia,48
670,Angola,Senegal,48
671,Angola,Serbia,46
672,Angola,Seychelles,46
673,Angola,Sierra Leone,47
674,Angola,Singapore,46
675,Angola,Slovakia,48
676,Angola,Slovenia,47
677,Angola,Somalia,48
678,Angola,South Africa,47
679,Angola,South Korea,49
680,Angola,Spain,46
681,Angola,Sri Lanka,47
682,Angola,Sudan,47
683,Angola,Suriname,47
684,Angola,Swaziland,47
685,Angola,Sweden,47
686,Angola,Switzerland,47
687,Angola,Syrian Arab Republic,46
688,Angola,Taiwan,48
689,Angola,Tajikistan,48
690,Angola,Tanzania,46
691,Angola,Thailand,47
692,Angola,Timor-Leste,47
693,Angola,Togo,48
694,Angola,Trinidad and Tobago,47
695,Angola,Tunisia,47
696,Angola,Turkey,48
697,Angola,Turkmenistan,49
698,Angola,Uganda,46
699,Angola,Ukraine,48
700,Angola,United Arab Emirates,48
701,Angola,United Kingdom,47
702,Angola,United States,46
703,Angola,Uruguay,46
704,Angola,Uzbekistan,48
705,Angola,Venezuela,48
706,Angola,Vietnam,47
707,Angola,Yemen,47
708,Angola,Zambia,47
709,Angola,Zimbabwe,48
710,Argentina,Armenia,49
711,Argentina,Australia,48
712,Argentina,Austria,47
713,Argentina,Azerbaijan,48
714,Argentina,Bahamas,46
715,Argentina,Bahrain,44
716,Argentina,Bangladesh,47
717,Argentina,Barbados,46
718,Argentina,Belarus,49
719,Argentina,Belgium,47
720,Argentina,Belize,47
721,Argentina,Benin,46
722,Argentina,Bermuda,48
723,Argentina,Bhutan,47
724,Argentina,Bolivia,48
725,Argentina,Bosnia and Herzegovina,48
726,Argentina,Botswana,48
727,Argentina,Brazil,46
728,Argentina,Brunei,47
729,Argentina,Bulgaria,47
730,Argentina,Burkina Faso,47
731,Argentina,Burundi,48
